id,identifier,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
308,Hydro Cannon,11,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
309,Meteor Mash,9,90,10,90,0,10,2,140,20,7,0,,,,,0,0,0,0,0,20
310,Astonish,8,30,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
311,Weather Ball,1,50,10,100,0,10,3,204,,0,0,,,,,0,0,0,0,0,0
312,Aromatherapy,12,,5,,0,13,1,103,,13,0,,,,,0,0,0,0,0,0
313,Fake Tears,17,,20,100,0,10,1,63,,2,0,,,,,0,0,0,0,0,0
314,Air Cutter,3,60,25,95,0,11,3,44,,0,0,,,,,0,0,1,0,0,0
315,Overheat,10,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
316,Odor Sleuth,1,,40,,0,10,1,114,,1,17,,,,,0,0,0,0,0,0
317,Rock Tomb,6,60,15,95,0,10,2,71,100,6,0,,,,,0,0,0,0,0,100
318,Silver Wind,7,60,5,100,0,10,3,141,10,7,0,,,,,0,0,0,0,0,10
319,Metal Sound,9,,40,85,0,10,1,63,,2,0,,,,,0,0,0,0,0,0
320,Grass Whistle,12,,15,55,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
321,Tickle,1,,20,100,0,10,1,206,,2,0,,,,,0,0,0,0,0,0
322,Cosmic Power,14,,20,,0,7,1,207,,2,0,,,,,0,0,0,0,0,0
323,Water Spout,11,150,5,100,0,11,3,191,,0,0,,,,,0,0,0,0,0,0
324,Signal Beam,7,75,15,100,0,10,3,77,10,4,6,,,2,5,0,0,0,10,0,0
325,Shadow Punch,8,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
326,Extrasensory,14,80,20,100,0,10,3,32,10,0,0,,,,,0,0,0,0,10,0
327,Sky Uppercut,2,85,15,90,0,10,2,208,,0,0,,,,,0,0,0,0,0,0
328,Sand Tomb,5,35,15,85,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
329,Sheer Cold,15,,5,30,0,10,3,39,,9,0,,,,,0,0,0,0,0,0
330,Muddy Water,11,90,10,85,0,11,3,74,30,6,0,,,,,0,0,0,0,0,30
331,Bullet Seed,12,25,30,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
332,Aerial Ace,3,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
333,Icicle Spear,15,25,30,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
334,Iron Defense,9,,15,,0,7,1,52,,2,0,,,,,0,0,0,0,0,0
335,Block,1,,5,,0,10,1,107,,13,0,,,,,0,0,0,0,0,0
336,Howl,1,,40,,0,13,1,11,,2,0,,,,,0,0,0,0,0,0
337,Dragon Claw,16,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
338,Frenzy Plant,12,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
339,Bulk Up,2,,20,,0,7,1,209,,2,0,,,,,0,0,0,0,0,0
340,Bounce,3,85,5,85,0,10,2,264,30,4,1,,,,,0,0,0,30,0,0
341,Mud Shot,5,55,15,95,0,10,3,71,100,6,0,,,,,0,0,0,0,0,100
342,Poison Tail,4,50,25,100,0,10,2,210,10,4,5,,,,,0,0,1,10,0,0
343,Covet,1,60,25,100,0,10,2,106,,0,0,,,,,0,0,0,0,0,0
344,Volt Tackle,13,120,15,100,0,10,2,263,10,4,1,,,,,-33,0,0,10,0,0
345,Magical Leaf,12,60,20,,0,10,3,18,,0,0,,,,,0,0,0,0,0,0
346,Water Sport,11,,15,,0,12,1,211,,10,0,,,,,0,0,0,0,0,0
347,Calm Mind,14,,20,,0,7,1,212,,2,0,,,,,0,0,0,0,0,0
348,Leaf Blade,12,90,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
349,Dragon Dance,16,,20,,0,7,1,213,,2,0,,,,,0,0,0,0,0,0
350,Rock Blast,6,25,10,90,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
351,Shock Wave,13,60,20,,0,10,3,18,,0,0,,,,,0,0,0,0,0,0
352,Water Pulse,11,60,20,100,0,10,3,77,20,4,6,,,2,5,0,0,0,20,0,0
353,Doom Desire,9,140,5,100,0,10,3,149,,13,0,,,,,0,0,0,0,0,0
354,Psycho Boost,14,140,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
355,Roost,3,,10,,0,7,1,215,,3,0,,,,,0,50,0,0,0,0
356,Gravity,14,,5,,0,12,1,216,,10,0,,,,,0,0,0,0,0,0
357,Miracle Eye,14,,40,,0,10,1,217,,1,17,,,,,0,0,0,0,0,0
358,Wake Up Sl,2,70,10,100,0,10,2,218,,0,0,,,,,0,0,0,0,0,0
359,Hammer Arm,2,100,10,90,0,10,2,219,100,7,0,,,,,0,0,0,0,0,100
360,Gyro Ball,9,,5,100,0,10,2,220,,0,0,,,,,0,0,0,0,0,0
361,Healing Wish,14,,10,,0,7,1,221,,13,0,,,,,0,0,0,0,0,0
362,Brine,11,65,10,100,0,10,3,222,,0,0,,,,,0,0,0,0,0,0
363,Natural Gift,1,,15,100,0,10,2,223,,0,0,,,,,0,0,0,0,0,0
364,Feint,1,30,10,100,2,10,2,224,,0,0,,,,,0,0,0,0,0,0
365,Pluck,3,60,20,100,0,10,2,225,,0,0,,,,,0,0,0,0,0,0
366,Tailwind,3,,15,,0,4,1,226,,11,0,,,,,0,0,0,0,0,0
367,Acupressure,1,,30,,0,5,1,227,,13,0,,,,,0,0,0,0,0,0
368,Metal Burst,9,,10,100,0,1,2,228,,0,0,,,,,0,0,0,0,0,0
369,U Turn,7,70,20,100,0,10,2,229,,0,0,,,,,0,0,0,0,0,0
370,Close Combat,2,120,5,100,0,10,2,230,100,7,0,,,,,0,0,0,0,0,100
371,Payback,17,50,10,100,0,10,2,231,,0,0,,,,,0,0,0,0,0,0
372,Assurance,17,60,10,100,0,10,2,232,,0,0,,,,,0,0,0,0,0,0
373,Embargo,17,,15,100,0,10,1,233,,1,19,,,5,5,0,0,0,0,0,0
374,Fling,17,,10,100,0,10,2,234,,0,0,,,,,0,0,0,0,0,0
375,Psycho Shift,14,,10,100,0,10,1,235,,13,0,,,,,0,0,0,0,0,0
376,Trump Card,1,,5,,0,10,3,236,,0,0,,,,,0,0,0,0,0,0
377,Heal Block,14,,15,100,0,11,1,237,,1,15,,,5,5,0,0,0,0,0,0
378,Wring Out,1,,5,100,0,10,3,238,,0,0,,,,,0,0,0,0,0,0
379,Power Trick,14,,10,,0,7,1,239,,13,0,,,,,0,0,0,0,0,0
380,Gastro Acid,4,,10,100,0,10,1,240,,13,0,,,,,0,0,0,0,0,0
381,Lucky Chant,1,,30,,0,4,1,241,,11,0,,,,,0,0,0,0,0,0
382,Me First,1,,20,,0,2,1,242,,0,0,,,,,0,0,0,0,0,0
383,Copycat,1,,20,,0,7,1,243,,13,0,,,,,0,0,0,0,0,0
384,Power Swap,14,,10,,0,10,1,244,,13,0,,,,,0,0,0,0,0,0
385,Guard Swap,14,,10,,0,10,1,245,,13,0,,,,,0,0,0,0,0,0
386,Punishment,17,,5,100,0,10,2,246,,0,0,,,,,0,0,0,0,0,0
387,Last Resort,1,140,5,100,0,10,2,247,,0,0,,,,,0,0,0,0,0,0
388,Worry Seed,12,,10,100,0,10,1,248,,13,0,,,,,0,0,0,0,0,0
389,Sucker Punch,17,70,5,100,1,10,2,249,,0,0,,,,,0,0,0,0,0,0
390,Toxic Spikes,4,,20,,0,6,1,250,,11,0,,,,,0,0,0,0,0,0
391,Heart Swap,14,,10,,0,10,1,251,,13,0,,,,,0,0,0,0,0,0
392,Aqua Ring,11,,20,,0,7,1,252,,13,0,,,,,0,0,0,0,0,0
393,Magnet Rise,13,,10,,0,7,1,253,,13,0,,,,,0,0,0,0,0,0
394,Flare Blitz,10,120,15,100,0,10,2,254,10,4,4,,,,,-33,0,0,10,0,0
395,Force Palm,2,60,10,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
396,Aura Sphere,2,80,20,,0,10,3,18,,0,0,,,,,0,0,0,0,0,0
397,Rock Polish,6,,20,,0,7,1,53,,2,0,,,,,0,0,0,0,0,0
398,Poison Jab,4,80,20,100,0,10,2,3,30,4,5,,,,,0,0,0,30,0,0
399,Dark Pulse,17,80,15,100,0,10,3,32,20,0,0,,,,,0,0,0,0,20,0
400,Night Slash,17,70,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
401,Aqua Tail,11,90,10,90,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
402,Seed Bomb,12,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
403,Air Slash,3,75,15,95,0,10,3,32,30,0,0,,,,,0,0,0,0,30,0
404,X Scissor,7,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
405,Bug Buzz,7,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
406,Dragon Pulse,16,85,10,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
407,Dragon Rush,16,100,10,75,0,10,2,32,20,0,0,,,,,0,0,0,0,20,0
408,Power Gem,6,80,20,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
409,Drain Punch,2,75,10,100,0,10,2,4,,8,0,,,,,50,0,0,0,0,0
410,Vacuum Wave,2,40,30,100,1,10,3,104,,0,0,,,,,0,0,0,0,0,0
411,Focus Blast,2,120,5,70,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
412,Energy Ball,12,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
413,Brave Bird,3,120,15,100,0,10,2,199,,0,0,,,,,-33,0,0,0,0,0
414,Earth Power,5,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
415,Switcheroo,17,,10,100,0,10,1,178,,13,0,,,,,0,0,0,0,0,0
416,Giga Impact,1,150,5,90,0,10,2,81,,0,0,,,,,0,0,0,0,0,0
417,Nasty Plot,17,,20,,0,7,1,54,,2,0,,,,,0,0,0,0,0,0
418,Bullet Punch,9,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
419,Avalanche,15,60,10,100,-4,10,2,186,,0,0,,,,,0,0,0,0,0,0
420,Ice Shard,15,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
421,Shadow Claw,8,70,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
422,Thunder Fang,13,65,15,95,0,10,2,276,10,4,1,,,,,0,0,0,10,10,0
423,Ice Fang,15,65,15,95,0,10,2,275,10,4,3,,,,,0,0,0,10,10,0
424,Fire Fang,10,65,15,95,0,10,2,274,10,4,4,,,,,0,0,0,10,10,0
425,Shadow Sneak,8,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
426,Mud Bomb,5,65,10,85,0,10,3,74,30,6,0,,,,,0,0,0,0,0,30
427,Psycho Cut,14,70,20,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
428,Zen Headbutt,14,80,15,90,0,10,2,32,20,0,0,,,,,0,0,0,0,20,0
429,Mirror Shot,9,65,10,85,0,10,3,74,30,6,0,,,,,0,0,0,0,0,30
430,Flash Cannon,9,80,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
431,Rock Climb,1,90,20,85,0,10,2,77,20,4,6,,,2,5,0,0,0,20,0,0
432,Defog,3,,15,,0,10,1,259,,13,0,,,,,0,0,0,0,0,0
433,Trick Room,14,,5,,-7,12,1,260,,10,0,,,,,0,0,0,0,0,0
434,Draco Meteor,16,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
435,Discharge,13,80,15,100,0,9,3,7,30,4,1,,,,,0,0,0,30,0,0
436,Lava Plume,10,80,15,100,0,9,3,5,30,4,4,,,,,0,0,0,30,0,0
437,Leaf Storm,12,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
438,Power Whip,12,120,10,85,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
439,Rock Wrecker,6,150,5,90,0,10,2,81,,0,0,,,,,0,0,0,0,0,0
440,Cross Poison,4,70,20,100,0,10,2,210,10,4,5,,,,,0,0,1,10,0,0
441,Gunk Shot,4,120,5,80,0,10,2,3,30,4,5,,,,,0,0,0,30,0,0
442,Iron Head,9,80,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
443,Magnet Bomb,9,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
444,Stone Edge,6,100,5,80,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
445,Captivate,1,,20,100,0,11,1,266,,2,0,,,,,0,0,0,0,0,0
446,Stealth Rock,6,,20,,0,6,1,267,,11,0,,,,,0,0,0,0,0,0
447,Grass Knot,12,,20,100,0,10,3,197,,0,0,,,,,0,0,0,0,0,0
448,Chatter,3,65,20,100,0,10,3,268,100,4,6,,,2,5,0,0,0,100,0,0
449,Judgment,1,100,10,100,0,10,3,269,,0,0,,,,,0,0,0,0,0,0
450,Bug Bite,7,60,20,100,0,10,2,225,,0,0,,,,,0,0,0,0,0,0
451,Charge Beam,13,50,10,90,0,10,3,277,70,7,0,,,,,0,0,0,0,0,70
452,Wood Hammer,12,120,15,100,0,10,2,199,,0,0,,,,,-33,0,0,0,0,0
453,Aqua Jet,11,40,20,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
454,Attack Order,7,90,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
455,Defend Order,7,,10,,0,7,1,207,,2,0,,,,,0,0,0,0,0,0
456,Heal Order,7,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
457,Head Smash,6,150,5,80,0,10,2,270,,0,0,,,,,-50,0,0,0,0,0
458,Double Hit,1,35,10,90,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
459,Roar Of Ti,16,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
460,Spacial Rend,16,100,5,95,0,10,3,44,,0,0,,,,,0,0,1,0,0,0
461,Lunar Dance,14,,10,,0,7,1,271,,13,0,,,,,0,0,0,0,0,0
462,Crush Grip,1,,5,100,0,10,2,238,,0,0,,,,,0,0,0,0,0,0
463,Magma Storm,10,100,5,75,0,10,3,43,100,4,8,,,5,6,0,0,0,100,0,0
464,Dark Void,17,,10,50,0,11,1,2,,1,2,,,2,4,0,0,0,0,0,0
465,Seed Flare,12,120,5,85,0,10,3,272,40,6,0,,,,,0,0,0,0,0,40
466,Ominous Wind,8,60,5,100,0,10,3,141,10,7,0,,,,,0,0,0,10,0,10
467,Shadow Force,8,120,5,100,0,10,2,273,,0,0,,,,,0,0,0,0,0,0
468,Hone Claws,17,,15,,0,7,1,278,,2,0,,,,,0,0,0,0,0,0
469,Wide Guard,6,,10,,3,4,1,279,,11,0,,,,,0,0,0,0,0,0
470,Guard Split,14,,10,,0,10,1,280,,13,0,,,,,0,0,0,0,0,0
471,Power Split,14,,10,,0,10,1,281,,13,0,,,,,0,0,0,0,0,0
472,Wonder Room,14,,10,,0,12,1,282,,10,0,,,,,0,0,0,0,0,0
473,Psyshock,14,80,10,100,0,10,3,283,,0,0,,,,,0,0,0,0,0,0
474,Venoshock,4,65,10,100,0,10,3,284,,0,0,,,,,0,0,0,0,0,0
475,Autotomize,9,,15,,0,7,1,285,,2,0,,,,,0,0,0,0,0,0
476,Rage Powder,7,,20,,2,7,1,173,,13,0,,,,,0,0,0,0,0,0
477,Telekinesis,14,,15,,0,10,1,286,,1,-1,,,3,3,0,0,0,0,0,0
478,Magic Room,14,,10,,0,12,1,287,,10,0,,,,,0,0,0,0,0,0
479,Smack Down,6,50,15,100,0,10,2,288,100,0,-1,,,,,0,0,0,100,0,0
480,Storm Throw,2,60,10,100,0,10,2,289,,0,0,,,,,0,0,6,0,0,0
481,Flame Burst,10,70,15,100,0,10,3,290,,0,0,,,,,0,0,0,0,0,0
482,Sludge Wave,4,95,10,100,0,9,3,3,10,4,5,,,,,0,0,0,10,0,0
483,Quiver Dance,7,,20,,0,7,1,291,,2,0,,,,,0,0,0,0,0,0
484,Heavy Slam,9,,10,100,0,10,2,292,,0,0,,,,,0,0,0,0,0,0
485,Synchronoise,14,120,10,100,0,9,3,293,,0,0,,,,,0,0,0,0,0,0
486,Electro Ball,13,,10,100,0,10,3,294,,0,0,,,,,0,0,0,0,0,0
487,Soak,11,,20,100,0,10,1,295,,13,0,,,,,0,0,0,0,0,0
488,Flame Charge,10,50,20,100,0,10,2,296,100,7,0,,,,,0,0,0,0,0,100
489,Coil,4,,20,,0,7,1,323,,2,0,,,,,0,0,0,0,0,0
490,Low Sweep,2,65,20,100,0,10,2,21,100,6,0,,,,,0,0,0,0,0,100
491,Acid Spray,4,40,20,100,0,10,3,297,100,6,0,,,,,0,0,0,0,0,100
492,Foul Play,17,95,15,100,0,10,2,298,,0,0,,,,,0,0,0,0,0,0
493,Simple Beam,1,,15,100,0,10,1,299,,13,0,,,,,0,0,0,0,0,0
494,Entrainment,1,,15,100,0,10,1,300,,13,0,,,,,0,0,0,0,0,0
495,After You,1,,15,,0,10,1,301,,13,0,,,,,0,0,0,0,0,0
496,Round,1,60,15,100,0,10,3,302,,0,0,,,,,0,0,0,0,0,0
497,Echoed Voice,1,40,15,100,0,10,3,303,,0,0,,,,,0,0,0,0,0,0
498,Chip Away,1,70,20,100,0,10,2,304,,0,0,,,,,0,0,0,0,0,0
499,Clear Smog,4,50,15,,0,10,3,305,,0,0,,,,,0,0,0,0,0,0
500,Stored Power,14,20,10,100,0,10,3,306,,0,0,,,,,0,0,0,0,0,0
501,Quick Guard,2,,15,,3,4,1,307,,11,0,,,,,0,0,0,0,0,0
502,Ally Switch,14,,15,,2,7,1,308,,13,0,,,,,0,0,0,0,0,0
503,Scald,11,80,15,100,0,10,3,5,30,4,4,,,,,0,0,0,30,0,0
504,Shell Smash,1,,15,,0,7,1,309,,13,0,,,,,0,0,0,0,0,0
505,Heal Pulse,14,,10,,0,10,1,310,,3,0,,,,,0,50,0,0,0,0
506,Hex,8,65,10,100,0,10,3,311,,0,0,,,,,0,0,0,0,0,0
507,Sky Drop,3,60,10,100,0,10,2,312,,0,0,,,,,0,0,0,0,0,0
508,Shift Gear,9,,10,,0,7,1,313,,2,0,,,,,0,0,0,0,0,0
509,Circle Throw,2,60,10,90,-6,10,2,314,,0,0,,,,,0,0,0,0,0,0
510,Incinerate,10,60,15,100,0,11,3,315,,0,0,,,,,0,0,0,0,0,0
511,Quash,17,,15,100,0,10,1,316,,13,0,,,,,0,0,0,0,0,0
512,Acrobatics,3,55,15,100,0,10,2,318,,0,0,,,,,0,0,0,0,0,0
513,Reflect Type,1,,15,,0,10,1,319,,13,0,,,,,0,0,0,0,0,0
514,Retaliate,1,70,5,100,0,10,2,320,,0,0,,,,,0,0,0,0,0,0
515,Final Gambit,2,,5,100,0,10,3,321,,0,0,,,,,0,0,0,0,0,0
516,Bestow,1,,15,,0,10,1,324,,13,0,,,,,0,0,0,0,0,0
517,Inferno,10,100,5,50,0,10,3,5,100,4,4,,,,,0,0,0,100,0,0
518,Water Pledge,11,80,10,100,0,10,3,325,,0,0,,,,,0,0,0,0,0,0
519,Fire Pledge,10,80,10,100,0,10,3,326,,0,0,,,,,0,0,0,0,0,0
520,Grass Pledge,12,80,10,100,0,10,3,327,,0,0,,,,,0,0,0,0,0,0
521,Volt Switch,13,70,20,100,0,10,3,229,,0,0,,,,,0,0,0,0,0,0
522,Struggle Bug,7,50,20,100,0,11,3,72,100,6,0,,,,,0,0,0,0,0,100
523,Bulldoze,5,60,20,100,0,9,2,71,100,6,0,,,,,0,0,0,0,0,100
524,Frost Breath,15,60,10,90,0,10,3,289,100,0,0,,,,,0,0,6,100,0,0
525,Dragon Tail,16,60,10,90,-6,10,2,314,,0,0,,,,,0,0,0,0,0,0
526,Work Up,1,,30,,0,7,1,328,,2,0,,,,,0,0,0,0,0,0
527,Electroweb,13,55,15,95,0,11,3,21,100,6,0,,,,,0,0,0,0,0,100
528,Wild Charge,13,90,15,100,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
529,Drill Run,5,80,10,95,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
530,Dual Chop,16,40,15,90,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
531,Heart Stamp,14,60,25,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
532,Horn Leech,12,75,10,100,0,10,2,4,,8,0,,,,,50,0,0,0,0,0
533,Sacred Sword,2,90,15,100,0,10,2,304,,0,0,,,,,0,0,0,0,0,0
534,Razor Shell,11,75,10,95,0,10,2,70,50,6,0,,,,,0,0,0,0,0,50
535,Heat Crash,10,,10,100,0,10,2,292,,0,0,,,,,0,0,0,0,0,0
536,Leaf Tornado,12,65,10,90,0,10,3,74,50,6,0,,,,,0,0,0,0,0,50
537,Steamroller,7,65,20,100,0,10,2,151,30,0,0,,,,,0,0,0,0,30,0
538,Cotton Guard,12,,10,,0,7,1,329,,2,0,,,,,0,0,0,0,0,0
539,Night Daze,17,85,10,95,0,10,3,74,40,6,0,,,,,0,0,0,0,0,40
540,Psystrike,14,100,10,100,0,10,3,283,,0,0,,,,,0,0,0,0,0,0
541,Tail Slap,1,25,10,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
542,Hurricane,3,110,10,70,0,10,3,334,30,4,6,,,2,5,0,0,0,30,0,0
543,Head Charge,1,120,15,100,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
544,Gear Grind,9,50,15,85,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
545,Searing Shot,10,100,5,100,0,9,3,5,30,4,4,,,,,0,0,0,30,0,0
546,Techno Blast,1,120,5,100,0,10,3,269,,0,0,,,,,0,0,0,0,0,0
547,Relic Song,1,75,10,100,0,11,3,330,10,4,2,,,2,4,0,0,0,10,0,0
548,Secret Sword,2,85,10,100,0,10,3,283,,0,0,,,,,0,0,0,0,0,0
549,Glaciate,15,65,10,95,0,11,3,331,100,6,0,,,,,0,0,0,0,0,100
550,Bolt Strike,13,130,5,85,0,10,2,7,20,4,1,,,,,0,0,0,20,0,0
551,Blue Flare,10,130,5,85,0,10,3,5,20,4,4,,,,,0,0,0,20,0,0
552,Fiery Dance,10,80,10,100,0,10,3,277,50,7,0,,,,,0,0,0,0,0,50
553,Freeze Shock,15,140,5,90,0,10,2,332,30,4,1,,,,,0,0,0,30,0,0
554,Ice Burn,15,140,5,90,0,10,3,333,30,4,4,,,,,0,0,0,30,0,0
555,Snarl,17,55,15,95,0,11,3,72,100,6,0,,,,,0,0,0,0,0,100
556,Icicle Crash,15,85,10,90,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
557,V Create,10,180,5,95,0,10,2,335,100,7,0,,,,,0,0,0,0,0,100
558,Fusion Flare,10,100,5,100,0,10,3,336,,0,0,,,,,0,0,0,0,0,0
559,Fusion Bolt,13,100,5,100,0,10,2,337,,0,0,,,,,0,0,0,0,0,0
560,Flying Press,2,100,10,95,0,10,2,338,,0,0,,,,,0,0,0,0,0,0
561,Mat Block,2,,10,,0,4,1,377,,11,0,,,,,0,0,0,0,0,0
562,Belch,4,120,10,90,0,10,3,339,,0,0,,,,,0,0,0,0,0,0
563,Rototiller,5,,10,,0,14,1,340,100,2,0,,,,,0,0,0,0,0,100
564,Sticky Web,7,,20,,0,6,1,341,,11,0,,,,,0,0,0,0,0,0
565,Fell Stinger,7,50,25,100,0,10,2,342,,0,0,,,,,0,0,0,0,0,0
566,Phantom Force,8,90,10,100,0,10,2,273,,0,0,,,,,0,0,0,0,0,0
567,Trick or Treat,8,,20,100,0,10,1,343,,13,0,,,,,0,0,0,0,0,0
568,Noble Roar,1,,30,100,0,10,1,344,100,2,0,,,,,0,0,0,0,0,100
569,Ion Deluge,13,,25,,1,12,1,345,,10,0,,,,,0,0,0,0,0,0
570,Parabolic Charge,13,65,20,100,0,9,3,346,,8,0,,,,,50,0,0,0,0,0
571,Forests Curse,12,,20,100,0,10,1,376,,13,0,,,,,0,0,0,0,0,0
572,Petal Blizzard,12,90,15,100,0,9,2,379,,0,0,,,,,0,0,0,0,0,0
573,Freeze Dry,15,70,20,100,0,10,3,380,10,4,3,,,,,0,0,0,10,0,0
574,Disarming Voice,18,40,15,,0,11,3,381,,0,0,,,,,0,0,0,0,0,0
575,Parting Shot,17,,20,100,0,10,1,347,100,2,0,,,,,0,0,0,0,0,100
576,Topsy Turvy,17,,20,,0,10,1,348,,13,0,,,,,0,0,0,0,0,0
577,Draining Kiss,18,50,10,100,0,10,3,349,,8,0,,,,,75,0,0,0,0,0
578,Crafty Shield,18,,10,,3,4,1,350,,11,0,,,,,0,0,0,0,0,0
579,Flower Shield,18,,10,,0,14,1,351,100,13,0,,,,,0,0,0,0,0,100
580,Grassy Terrain,12,,10,,0,12,1,352,,10,0,,,,,0,0,0,0,0,0
581,Misty Terrain,18,,10,,0,12,1,353,,10,0,,,,,0,0,0,0,0,0
582,Electrify,13,,20,,0,10,1,354,,13,0,,,,,0,0,0,0,0,0
583,Play Rough,18,90,10,90,0,10,2,69,10,6,0,,,,,0,0,0,0,0,10
584,Fairy Wind,18,40,30,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
585,Moonblast,18,95,15,100,0,10,3,72,30,6,0,,,,,0,0,0,0,0,30
586,Boomburst,1,140,10,100,0,9,3,379,,0,0,,,,,0,0,0,0,0,0
587,Fairy Lock,18,,10,,0,12,1,355,,10,0,,,,,0,0,0,0,0,0
588,Kings Shield,9,,10,,4,7,1,356,,13,0,,,,,0,0,0,0,0,0
589,Play Nice,1,,20,,0,10,1,357,100,2,0,,,,,0,0,0,0,0,100
590,Confide,1,,20,,0,10,1,358,100,2,0,,,,,0,0,0,0,0,100
591,Diamond Storm,6,100,5,95,0,11,2,359,50,7,0,,,,,0,0,0,0,0,50
592,Steam Eruption,11,110,5,95,0,10,3,5,30,4,4,,,,,0,0,0,30,0,0
593,Hyperspace Hole,14,80,5,,0,10,3,360,,0,0,,,,,0,0,0,0,0,0
594,Water Shuriken,11,15,20,100,1,10,3,361,,0,0,2,5,,,0,0,0,0,0,0
595,Mystical Fire,10,75,10,100,0,10,3,72,100,6,0,,,,,0,0,0,0,0,100
596,Spiky Shield,12,,10,,4,7,1,362,,13,0,,,,,0,0,0,0,0,0
597,Aromatic Mist,18,,20,,0,3,1,363,,2,0,,,,,0,0,0,0,0,0
598,Eerie Impulse,13,,15,100,0,10,1,62,,2,0,,,,,0,0,0,0,0,0
599,Venom Drench,4,,20,100,0,11,1,364,100,2,0,,,,,0,0,0,0,0,100
600,Powder,7,,20,100,1,10,1,378,,13,0,,,,,0,0,0,0,0,0
601,Geomancy,18,,10,,0,7,1,366,,2,0,,,,,0,0,0,0,0,0
602,Magnetic Flux,13,,20,,0,13,1,367,,2,0,,,,,0,0,0,0,0,0
603,Happy Hour,1,,30,,0,4,1,368,,13,0,,,,,0,0,0,0,0,0
604,Electric Terrain,13,,10,,0,12,1,369,,10,0,,,,,0,0,0,0,0,0
605,Dazzling Gleam,18,80,10,100,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
606,Celebrate,1,,40,,0,7,1,370,,13,0,,,,,0,0,0,0,0,0
607,Hold Hands,1,,40,,0,3,1,371,,13,0,,,,,0,0,0,0,0,0
608,Baby Doll Eyes,18,,30,100,1,10,1,365,,2,0,,,,,0,0,0,0,0,0
609,Nuzzle,13,20,20,100,0,10,2,372,100,4,1,,,,,0,0,0,100,0,0
610,Hold Back,1,40,40,100,0,10,2,102,,0,0,,,,,0,0,0,0,0,0
